skills,project_type
"JavaScript,React",FullStack
"CSS,Angular",Frontend
"Hibernate,C#",Backend
"Hibernate,Spring,REST",Backend
"R,TensorFlow",Data Science
"PyTorch,Pandas,TensorFlow",Data Science
"Git,Terraform",DevOps
"SQL,NumPy",Data Science
"Linux,Terraform",DevOps
"Cypress,Testing,Postman,Selenium",QA
"Testing,Selenium,Cypress,Jest",QA
"SQL,JavaScript,TypeScript,React",FullStack
"SQL,TypeScript",FullStack
"Vue,SQL,Sass,HTML,Postman",Frontend
"Sass,Vue,Angular,React",Frontend
"Hibernate,Node.js,C#",Backend
"Swift,Node.js,React,JavaScript,TypeScript,AWS,Git",FullStack
"CI/CD,Jenkins,Kubernetes,Linux",DevOps
"Hibernate,Flutter,Python,JUnit",Backend
"Python,REST,React,SQL,.NET,Hibernate,Sass",Backend
"JavaScript,Git,React,TypeScript",FullStack
"Jenkins,Linux,REST,TypeScript",DevOps
"Cypress,Testing,Selenium,Jest",QA
"JavaScript,HTML",Frontend
"ML,Python,Node.js,SQL,JavaScript,PyTorch",Data Science
"Cypress,Selenium",QA
"Jenkins,Linux,Terraform",DevOps
"CSS,JavaScript,HTML",Frontend
"Docker,Terraform,Kubernetes,AWS,Jenkins",DevOps
"Swift,iOS,Android",Mobile
"SQL,JavaScript,TypeScript,.NET",FullStack
"iOS,Flutter,React Native",Mobile
"Node.js,React,SQL,JavaScript,TypeScript",FullStack
"CI/CD,Jenkins,Docker,Terraform",DevOps
"JavaScript,TypeScript,Node.js,REST",FullStack
"Sass,HTML,Angular",Frontend
"CI/CD,Kubernetes,Linux",DevOps
"JavaScript,TypeScript",FullStack
"Docker,Terraform,CI/CD,Kubernetes,Jenkins",DevOps
"CI/CD,Jenkins,Linux,AWS",DevOps
"Node.js,CI/CD,Testing,Kubernetes,AWS",DevOps
".NET,Java,Hibernate,C#",Backend
"Testing,.NET,Jest,Cypress,Kotlin",QA
".NET,Spring,REST",Backend
"Swift,Android",Mobile
"Android,iOS,Kotlin,React Native",Mobile
"React,Sass,JavaScript,Vue",Frontend
"Swift,Android",Mobile
"ML,Python,R",Data Science
"React,JavaScript,CSS,Sass,TypeScript",Frontend
"Android,Flutter,Kotlin,iOS",Mobile
".NET,Hibernate,SQL",Backend
"SQL,NumPy,PyTorch",Data Science
"Testing,Java,Postman,Python",QA
"SQL,ML,R",Data Science
"Node.js,React,SQL,JavaScript,Git",FullStack
"Cypress,Postman,Selenium,Jest",QA
"ML,Python,R,TensorFlow",Data Science
"ML,PyTorch,TensorFlow,Pandas,R",Data Science
"REST,Node.js,React,NumPy,JavaScript,TypeScript",FullStack
"Postman,Selenium",QA
"Kubernetes,Linux,Git,Terraform",DevOps
"React,Vue,JavaScript,CSS,TypeScript",Frontend
"Docker,Jenkins,Kubernetes,AWS",DevOps
"SQL,ML",Data Science
"Node.js,SQL,JavaScript,Sass,TypeScript,HTML",FullStack
"Java,Python,SQL,C#,Hibernate,Postman,Git",Backend
"SQL,NumPy",Data Science
"Linux,Git,AWS,Terraform",DevOps
"Terraform,CI/CD,Linux,AWS,Jenkins",DevOps
".NET,Hibernate,SQL,C#",Backend
"ML,Angular,NumPy,PyTorch,Pandas,Jest,R",Data Science
"Java,Hibernate,Spring,Node.js",Backend
"React,TypeScript,Vue",Frontend
"CI/CD,Jenkins,Git,HTML",DevOps
"Node.js,React,REST,JavaScript,TypeScript,AWS,Git",FullStack
"Sass,CSS,React",Frontend
"Android,Postman,Selenium,Node.js",QA
"Swift,Flutter,Kotlin,React Native",Mobile
"Angular,Vue,Sass,HTML,TypeScript",Frontend
"ML,NumPy,TensorFlow,Pandas,R",Data Science
"iOS,Kotlin",Mobile
"JavaScript,Git,TypeScript",FullStack
"ML,Python,SQL,PyTorch,Testing,Pandas,Spring",Data Science
"JUnit,Selenium,Testing,Kubernetes,Jest,iOS,Postman",QA
"TypeScript,Node.js,React",FullStack
"Node.js,REST,SQL,C#,Hibernate,Spring,Postman",Backend
"Java,Node.js,SQL,PyTorch,C#,HTML,Spring",Backend
"ML,Docker,SQL,PyTorch,TensorFlow,Jenkins,R",Data Science
"JUnit,JavaScript,Testing,Jest,Cypress,Postman,R",QA
"HTML,JavaScript,Git,TypeScript",FullStack
"Cypress,Selenium",QA
"CI/CD,Jenkins",DevOps
"Swift,REST,Selenium,Testing,Cypress,Postman",QA
"Hibernate,Spring,Node.js,REST",Backend
"Python,React,JavaScript,Flutter,Git",FullStack
"Python,REST,SQL,JavaScript,TensorFlow,Pandas,R",Data Science
"Kubernetes,CI/CD,Jenkins,Git",DevOps
"Swift,iOS,Flutter,Kotlin",Mobile
"React,SQL,JavaScript,Linux,TypeScript",FullStack
"Swift,React Native,Android,Flutter,iOS",Mobile
"SQL,Pandas,R,TensorFlow",Data Science
"Android,Flutter,iOS",Mobile
"Cypress,Postman,Jest",QA
".NET,C#",Backend
"CSS,JavaScript,HTML,Sass",Frontend
"Git,Node.js,React,TypeScript",FullStack
"Spring,Hibernate,Node.js",Backend
"Postman,Selenium,Jest",QA
"Android,React Native,Kotlin,iOS",Mobile
"NumPy,TensorFlow",Data Science
"SQL,Java,Python,REST",Backend
"Docker,Terraform,SQL,Kubernetes,AWS,Jenkins,Kotlin",DevOps
"Postman,Jest",QA
"TensorFlow,TypeScript,Node.js,Git",FullStack
"CSS,TypeScript",Frontend
"Swift,SQL,Flutter,TensorFlow,Kotlin",Mobile
"Postman,Docker,Linux,CSS,Jenkins,Git",DevOps
"Sass,JavaScript,TypeScript,Angular",Frontend
"HTML,TypeScript",Frontend
"Swift,Docker,.NET,Kubernetes,AWS,Git",DevOps
"SQL,TypeScript,React",FullStack
"React Native,C#,.NET,iOS,Kotlin",Mobile
"CSS,HTML,React,TypeScript",Frontend
"Node.js,React,SQL,JavaScript,TypeScript",FullStack
"Docker,Terraform,Linux,Testing,Kubernetes,Git",DevOps
".NET,Java,Python,C#",Backend
"Git,PyTorch,Pandas,Kotlin,R",Data Science
"Kubernetes,Docker,Jenkins,Git",DevOps
"Node.js,React,SQL,JavaScript,TypeScript",FullStack
"NumPy,Pandas",Data Science
"Java,Python,REST,.NET,Spring",Backend
"Docker,Terraform,Flutter,Linux,JavaScript,Kubernetes,AWS",DevOps
"Python,C#",Backend
"Java,ML,REST,SQL,C#,Jest,Spring",Backend
"CI/CD,Linux,Git,Terraform",DevOps
"Swift,Python,Flutter,Kubernetes,iOS",Mobile
"Python,TensorFlow,Testing,Pandas,Jest,R",Data Science
"CI/CD,Jenkins,Linux",DevOps
"Swift,React Native,Android,Flutter,iOS",Mobile
"Vue,React,JavaScript,CSS,HTML",Frontend
"JavaScript,TypeScript,Node.js",FullStack
"Java,React Native,React,Android,Flutter,Kotlin",Mobile
"CI/CD,Kubernetes,AWS",DevOps
"Node.js,React,Terraform,JavaScript,Selenium,TypeScript,Git",FullStack
"Cypress,Testing",QA
"Node.js,REST,SQL,CI/CD,JavaScript,TypeScript",FullStack
"Sass,Vue,React,TypeScript",Frontend
"ML,SQL,PyTorch,TensorFlow,Pandas",Data Science
"Node.js,SQL,C#,.NET,Spring",Backend
"Python,SQL,PyTorch,TensorFlow,R",Data Science
"Sass,Postman,AWS,Vue",Frontend
"REST,Terraform,Kubernetes,AWS,Jenkins,Kotlin",DevOps
"React,Vue,Android,JavaScript,CSS,Sass,Jest",Frontend
"SQL,JavaScript,Python,Kubernetes",Data Science
"React Native,Flutter,Cypress,iOS,Postman,Kotlin",Mobile
"Testing,Cypress,Jest",QA
"Jenkins,Git",DevOps
"ML,React,Terraform,NumPy,Pandas,R",Data Science
"React Native,SQL,Flutter,iOS,Kotlin",Mobile
"SQL,Android,AWS,Terraform",DevOps
"Python,Pandas",Data Science
"Python,Node.js,SQL,C#,.NET",Backend
"Angular,Vue,React,CSS,TypeScript",Frontend
"Node.js,React,SQL,JavaScript,Git",FullStack
"Java,Python,SQL,Android,Hibernate,Spring",Backend
"REST,Terraform,Linux,Kubernetes,Cypress,Git",DevOps
"JUnit,Selenium,Testing,Cypress,Postman",QA
"Docker,Jenkins,Git",DevOps
"Node.js,React,JavaScript,Linux,Git",FullStack
"SQL,JavaScript,Git",FullStack
"SQL,Pandas,TensorFlow",Data Science
"Cypress,Selenium,Jest",QA
"Hibernate,CSS,TypeScript,Node.js",Frontend
"ML,Python,R",Data Science
"ML,Python,R",Data Science
"Angular,React,JavaScript,Testing,CSS,HTML,TypeScript",Frontend
"Java,REST,C#,.NET,Hibernate",Backend
"Cypress,JavaScript,Node.js,AWS",FullStack
"Java,Python,SQL,.NET,Spring",Backend
"CSS,JavaScript,HTML,Sass",Frontend
"React Native,SQL,Android,Flutter,Kubernetes,iOS,Kotlin",Mobile
"JUnit,Selenium,Testing,Jest,Postman",QA
"Python,PyTorch,R,TensorFlow",Data Science
"Spring,Jenkins,Python,REST",Backend
"Swift,Kotlin",Mobile
"C#,Node.js,React,AWS",FullStack
"SQL,NumPy,Python,R",Data Science
"Node.js,React,JavaScript,TypeScript,Git",FullStack
"SQL,JUnit,NumPy,Pandas,Cypress",Data Science
"Swift,React Native",Mobile
"ML,Python,TensorFlow,Jest,Git,R",Data Science
"Git,AWS",DevOps
"Hibernate,C#",Backend
"Terraform,Selenium,AWS,Jenkins,Git",DevOps
"Hibernate,HTML,Python,JavaScript",Backend
"SQL,NumPy,PyTorch,Pandas,R",Data Science
"JUnit,Postman",QA
"Java,Node.js,React,SQL,JavaScript,C#,TypeScript",FullStack
"HTML,Angular,Vue,TypeScript",Frontend
"SQL,REST",Backend
"Docker,Python,React Native,CI/CD,Git",DevOps
"Node.js,REST,C#,.NET,Spring",Backend
"Node.js,React,SQL,JavaScript,TypeScript",FullStack
"React Native,Android,Flutter,iOS,Kotlin",Mobile
"Swift,React Native,Android,Flutter,iOS",Mobile
"Testing,Jest,Cypress",QA
"Sass,JavaScript,TypeScript,Angular",Frontend
"Angular,.NET,CSS,HTML,TypeScript,Cypress",Frontend
"JavaScript,Sass,CSS,HTML,TypeScript",Frontend
"iOS,Flutter,Kotlin,React Native",Mobile
"Docker,Jenkins,Linux,AWS",DevOps
"Python,SQL,NumPy,TensorFlow,Pandas",Data Science
"Cypress,Jest",QA
"Jenkins,Terraform",DevOps
"Sass,CSS,Angular,React",Frontend
"Testing,Selenium,Cypress,Jest",QA
"Terraform,CI/CD,AWS,Jenkins,Git",DevOps
"Python,R",Data Science
"React Native,Android,Flutter,iOS,Kotlin",Mobile
"CSS,JavaScript,TypeScript,HTML",Frontend
"SQL,React",FullStack
"Cypress,Testing,JUnit,Selenium",QA
"Swift,React Native,Terraform,SQL,Android,Kotlin",Mobile
"React,Angular,Vue",Frontend
"Cypress,Android,Python,Jest",QA
"SQL,JavaScript,TypeScript,Node.js",FullStack
"Testing,Postman,Jest",QA
"Node.js,React,SQL,CI/CD,JavaScript",FullStack
"iOS,Flutter,React Native",Mobile
"Swift,React Native,Git,Flutter,HTML,iOS,Kotlin",Mobile
"Vue,JavaScript,HTML,React",Frontend
".NET,Spring,Kubernetes,Swift",Backend
"Android,Flutter,iOS,Spring,R",Mobile
